pais,país Code,tiempo,tiempo Code,esperanza,pib_pc
Uruguay,URY,2009,YR2009,76.603,11155.84525
Uruguay,URY,2010,YR2010,76.75,11992.01663
Uruguay,URY,2011,YR2011,76.882,12574.90357
Uruguay,URY,2012,YR2012,77.004,12981.14011
Uruguay,URY,2013,YR2013,77.124,13541.20711
Uruguay,URY,2014,YR2014,77.244,13934.57617
Uruguay,URY,2015,YR2015,77.369,13938.79007
Uruguay,URY,2016,YR2016,77.498,14124.14386
Uruguay,URY,2017,YR2017,77.632,14437.38469
Uruguay,URY,2018,YR2018,77.77,14617.464
